symbol,year_report,length_report,update_date,revenue,revenue_growth,net_profit,net_profit_growth,ebit_margin,roe,roic,roa,pe,pb,eps,current_ratio,cash_ratio,quick_ratio,interest_coverage,ae,fae,net_profit_margin,gross_margin,ev,issue_share,ps,pcf,bvps,ev_per_ebitda,at,fat,acp,dso,dpo,eps_ttm,charter_capital,rtq4,charter_capital_ratio,rtq10,dividend,ebitda,ebit,le,de,ccc,rtq17,Report_Type,Symbol,id,officer_name,officer_position,position_short_name,officer_own_percent,quantity,history,company_profile,icb_name3,icb_name2,icb_name4,financial_ratio_issue_share,share_holder,share_own_percent,date,description,link,name,sub_organ_code,ownership_percent,organ_name,type
YTC,2024.0,5.0,1742311339350,698777612924.0,0.2492004497194638,9613930429.0,0.46251294638903695,0.007474982647801523,0.0879376923,0.0168843905,0.0097649928,30.2908370464,1.6207674416,1006.9051559488898,1.0538045919,0.0999863688,0.8694372602,-0.5080008930019296,5.726281632840421,0.2465310440870126,0.01386189663216572,0.12707285099865087,291214000000.0,9548000,0.419888452,12.9376767942,18818.2457380603,35.7105138466,0.704448539,14.9020645757,59.554121146719524,56.5953015482,100.4752198627,1006.9051559489,95480000000,0.0,1.8818245738060326,4.7262816328,0.006557377,9343873119.0,5184280697.0,0.7088800307,4.7262816328,216.62464255761952,6.4492986169,RatioSummary,YTC,,,,,,,,,,,,,,,,,,,,,,
,,,2025-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YTC,9,Huỳnh Công Triết,Thành viên Ban kiểm soát,TV BKS,0.0002,1960.0,,,,,,,,,,,,,,,,
,,,2020-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YTC,2,Nguyễn Quốc Việt,Phó Chủ tịch Hội đồng Quản trị,Phó Chủ tịch HĐQT,0.0,0.0,,,,,,,,,,,,,,,,
,,,2024-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YTC,3,Lê Văn Thiện,Thành viên Hội đồng Quản trị,TV HĐQT,0.0,0.0,,,,,,,,,,,,,,,,
,,,2025-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YTC,4,Trương Thị Hồng Nhạn,Thành viên Ban kiểm soát,TV BKS,0.0,0.0,,,,,,,,,,,,,,,,
,,,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YTC,1,Phan Phương Anh,Phó Chủ tịch Hội đồng Quản trị,Phó Chủ tịch HĐQT,0.0,0.0,,,,,,,,,,,,,,,,
,,,2025-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YTC,6,Phan Minh Trung,Phụ trách Công bố thông tin/Tổng Giám đốc,Phụ trách CBTT/TGĐ,0.0,0.0,,,,,,,,,,,,,,,,
,,,2025-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YTC,7,Nguyễn Hoàng Giang,Trưởng Ban kiểm soát,Trưởng BKS,0.0,0.0,,,,,,,,,,,,,,,,
,,,2025-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YTC,8,Nguyễn Khánh Linh,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,0.0,0.0,,,,,,,,,,,,,,,,
,,,2025-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Officers,YTC,5,Trần Thị Nhàn,Kế toán trưởng,Kế toán trưởng,0.0,0.0,,,,,,,,,,,,,,,,
{0: 'YTC'},,,,,,,,,,,,,,,,,,,,,,,,{0: 9548000},,,,,,,,,,,{0: 95480000000},,,,,,,,,,,Overview,YTC,{0: '77091'},,,,,,{0: ' - Năm 1984: Công ty Cung ứng Thuốc được thành lập;  - Năm 1989: Đổi tên thành Công ty Xuất nhập khẩu Y tế thành phố Hồ Chí Minh;  - Ngày 01/08/2001: Chính thức hoạt động theo mô hình công ty cổ phần và đổi tên thành Công ty Cổ phần Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh với vốn điều lệ 28 tỷ đồng;  - Năm 2012: Trở thành công ty đại chúng;  - Ngày 03/08/2017: Giao dịch trên thị trường UPCOM;  - Ngày 10/01/2025: Tăng vốn điều lệ lên 95.480.000.000 đồng;'},"{0: 'Công ty Cổ phần Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh (YTC) có tiền thần là Công ty Cung ứng Thuốc, được thành lập vào năm 1984. Công ty hoạt động chính trong lĩnh vực kinh doanh, xuất nhập khẩu dược phẩm và trang thiết bị y tế. YTC là 1 trong 5 doanh nghiệp được Bộ Y tế giao nhiệm vụ nhập khẩu và phân phối các loại thuốc độc, gây nghiện và hướng tâm thần. Công ty hiện có 1 nhà kho với diện tích là 2000m2 đạt tiêu chuẩn GSP của quốc tế. Một số khách hàng của YTC như: Bệnh viện tim Tâm Đức, Viện tim thành phố Hồ Chí Minh, Công ty cổ phần VINAPHA, Công ty cổ phần dược phẩm TIPHARCO…YTC được giao dịch trên thị trường UPCOM từ tháng 08/2017.'}",{0: 'Thiết bị và Dịch vụ Y tế'},{0: 'Y tế'},{0: 'Dụng cụ y tế'},{0: 9548000},,,,,,,,,,
,,,2025-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YTC,93231172,,,,,6032633.0,,,,,,,Công ty Cổ phần Đầu tư SGI Holdings,0.6337,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YTC,93233098,,,,,2768920.0,,,,,,,Công ty TNHH MTV Dược Sài Gòn,0.29,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YTC,93236739,,,,,99770.0,,,,,,,Dư Quốc Đông,0.0324,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YTC,93244525,,,,,1210.0,,,,,,,Nguyễn Hải Hà,0.0004,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YTC,93238309,,,,,1960.0,,,,,,,Huỳnh Công Triết,0.0002,,,,,,,,
,,,2025-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shareholders,YTC,93249382,,,,,550.0,,,,,,,Nguyễn Thị Thu Thúy,0.0002,,,,,,,,
